Date,Open,High,Low,Close,Adj Close,Volume
11/14/2018,6339.169922,6375.700195,5469.930176,5741.470215,5741.470215,1045469380
11/15/2018,5740.509766,5767.060059,5300.75,5647.5,5647.5,820864013
11/16/2018,5647.5,5676.540039,5487.870117,5586.27002,5586.27002,397196182
11/17/2018,5586.970215,5602.009766,5524.700195,5568.939941,5568.939941,164182152
11/18/2018,5567.950195,5701.350098,5567.950195,5615.259766,5615.259766,233409182
11/19/2018,5615.259766,5615.97998,4757.009766,4809.620117,4809.620117,1072037780
11/20/2018,4809.620117,4953.560059,4168.25,4441.810059,4441.810059,1433400842
11/21/2018,4441.810059,4689.549805,4315.580078,4593.040039,4593.040039,686284917
11/22/2018,4593.040039,4640.720215,4297.209961,4320.680176,4320.680176,376852837
11/23/2018,4320.680176,4419.47998,4157.189941,4343.419922,4343.419922,521825987
11/24/2018,4343.419922,4432,3741.199951,3854.110107,3854.110107,503028289
11/25/2018,3854.110107,4165.930176,3550.040039,4004.149902,4004.149902,819869496
11/26/2018,4004.459961,4124.700195,3598.810059,3784.590088,3784.590088,715341714
11/27/2018,3784.77002,3878.899902,3613.110107,3822.98999,3822.98999,555212127
11/28/2018,3822.98999,4398.569824,3822.939941,4263.549805,4263.549805,726808596
11/29/2018,4263.52002,4444.390137,4130.680176,4286.689941,4286.689941,479575430
11/30/2018,4286.850098,4331.069824,3916.300049,4009.669922,4009.669922,497762735
12/1/2018,4009.669922,4309.649902,3942.620117,4197.459961,4197.459961,280927570
12/2/2018,4197.700195,4318.790039,4077.669922,4143.859863,4143.859863,262154694
12/3/2018,4143.859863,4159.009766,3795.179932,3871.409912,3871.409912,423985399
12/4/2018,3871.409912,4082.679932,3770.919922,3948.439941,3948.439941,373361232
12/5/2018,3948.439941,3961.800049,3719.189941,3737.530029,3737.530029,320944415
12/6/2018,3737.530029,3883.429932,3467.919922,3485.179932,3485.179932,590923562
12/7/2018,3485.179932,3576.110107,3248,3420.570068,3420.570068,699930576
12/8/2018,3420.570068,3602.48999,3295.209961,3461.070068,3461.070068,357548590
12/9/2018,3461.070068,3718.580078,3436.5,3592.840088,3592.840088,295321498
12/10/2018,3592.840088,3645.48999,3416.77002,3467.159912,3467.159912,287119758
12/11/2018,3467.159912,3483.580078,3348.97998,3401.02002,3401.02002,230671778
12/12/2018,3401.02002,3545.370117,3380.47998,3485.590088,3485.590088,257293632
12/13/2018,3485.590088,3493.76001,3272.810059,3305.110107,3305.110107,286236674
12/14/2018,3305.110107,3333.23999,3180.969971,3235.47998,3235.47998,290985461
12/15/2018,3235.47998,3271.76001,3169.530029,3232.51001,3232.51001,165378769
12/16/2018,3232.51001,3319.830078,3227.399902,3255.370117,3255.370117,148182655
12/17/2018,3255.370117,3639.649902,3239.060059,3548.189941,3548.189941,412454521
12/18/2018,3548.189941,3727.98999,3481.459961,3715.850098,3715.850098,327807644
12/19/2018,3715.850098,3969.699951,3693.570068,3736.540039,3736.540039,620695447
12/20/2018,3736.540039,4225.52002,3712.820068,4137.660156,4137.660156,724855205
12/21/2018,4137.660156,4247.709961,3831.199951,3898.810059,3898.810059,516656937
12/22/2018,3898.810059,4060.340088,3849.22998,4045.23999,4045.23999,250085915
12/23/2018,4045.23999,4117.649902,3972.389893,4007.629883,4007.629883,235997621
12/24/2018,4007.629883,4303.370117,4006.600098,4081.949951,4081.949951,459290147
12/25/2018,4081.949951,4094.610107,3734.850098,3834.72998,3834.72998,367200910
12/26/2018,3834.72998,3923.929932,3746.860107,3848.780029,3848.780029,263439573
12/27/2018,3848.780029,3888.919922,3622.389893,3646.090088,3646.090088,305729129
12/28/2018,3646.090088,4007.709961,3628.429932,3947.860107,3947.860107,353705007
12/29/2018,3947.860107,4004.139893,3774.379883,3797.060059,3797.060059,214891355
12/30/2018,3797.060059,3925.179932,3760.800049,3896.209961,3896.209961,191958416
